date,stock_code,open,high,low,close,volume,return_rate,return_5d,vol_5d,return_10d,vol_10d,return_20d,vol_20d,return_rate_scaled
2025-01-02,1,11.73,11.77,11.39,11.43,181959699,-0.023077,-0.023077,181959699.0,-0.023077,181959699.0,-0.023077,181959699.0,-1.2054659740742386
2025-01-03,1,11.44,11.54,11.36,11.38,115468044,-0.004374,-0.0137255,148713871.5,-0.0137255,148713871.5,-0.0137255,148713871.5,-0.22859396591368744
2025-01-06,1,11.38,11.48,11.22,11.44,108553630,0.005272,-0.007393,135327124.33333334,-0.007393,135327124.33333334,-0.007393,135327124.33333334,0.2752239986223055
2025-01-07,1,11.42,11.53,11.37,11.51,74786288,0.006119,-0.004015,120191915.25,-0.004015,120191915.25,-0.004015,120191915.25,0.31946345704672874
2025-01-08,1,11.5,11.63,11.4,11.5,106238601,-0.000869,-0.0033858,117401252.4,-0.0033858,117401252.4,-0.0033858,117401252.4,-0.04552513264615112
2025-01-09,1,11.5,11.5,11.35,11.4,75148330,-0.008696,-0.0005096000000000004,96038978.6,-0.004270833333333334,110359098.66666667,-0.004270833333333334,110359098.66666667,-0.4543353346390204
2025-01-10,1,11.4,11.46,11.28,11.3,79813351,-0.008772,-0.0013892000000000004,88908040.0,-0.004913857142857143,105995420.42857143,-0.004913857142857143,105995420.42857143,-0.458304872821141
2025-01-13,1,11.25,11.26,11.08,11.2,93496618,-0.00885,-0.0042136000000000005,85896637.6,-0.005405875,104433070.125,-0.005405875,104433070.125,-0.4623788725343701
2025-01-14,1,11.2,11.4,11.19,11.38,82462895,0.016071,-0.0022232000000000003,87431959.0,-0.003019555555555556,101991939.55555555,-0.003019555555555556,101991939.55555555,0.8392640358423125
2025-01-15,1,11.38,11.58,11.36,11.48,103163082,0.008787,-0.0002920000000000006,86816855.2,-0.0018389000000000005,102109053.8,-0.0018389000000000005,102109053.8,0.45881513954538394
2025-01-16,1,11.55,11.59,11.47,11.57,87296399,0.00784,0.0030152,89246469.0,0.0012527999999999994,92642723.8,-0.0009590000000000005,100762448.81818181,0.4093526045655389
2025-01-17,1,11.53,11.55,11.42,11.45,68976486,-0.010372,0.0026952000000000005,87079096.0,0.0006529999999999994,87993568.0,-0.0017434166666666672,98113618.58333333,-0.5418740977078907
2025-01-20,1,11.5,11.52,11.4,11.42,83202913,-0.00262,0.0039412,85020355.0,-0.00013620000000000046,85458496.3,-0.0018108461538461544,96966641.23076923,-0.13698120313158796
2025-01-21,1,11.45,11.45,11.32,11.33,90206894,-0.007881,-0.0008491999999999993,86569154.8,-0.0015362000000000006,87000556.9,-0.0022444285714285717,96483802.14285715,-0.4117672607123323
2025-01-22,1,11.32,11.33,11.08,11.09,134712922,-0.021183,-0.006843199999999999,92879122.8,-0.0035676000000000006,89847989.0,-0.0035070000000000006,99032410.13333334,-1.1065409041145484
2025-01-23,1,11.17,11.4,11.17,11.32,151492027,0.020739,-0.004263399999999999,105718248.4,-0.0006241000000000004,97482358.7,-0.0019916250000000003,102311136.1875,1.0830772494494052
2025-01-24,1,11.32,11.39,11.22,11.34,94494421,0.001767,-0.0018355999999999993,110821835.4,0.00042979999999999944,98950465.7,-0.0017705294117647062,101851329.41176471,0.09215516535476918
2025-01-27,1,11.38,11.55,11.38,11.47,115193471,0.011464,0.0009812000000000006,117219947.0,0.0024611999999999993,101120151.0,-0.0010352777777777782,102592559.5,0.5986368989340273
2025-02-05,1,11.5,11.52,11.33,11.37,84343370,-0.008718,0.0008138000000000006,116047242.2,-1.7700000000000356e-05,101308198.5,-0.0014396315789473688,101632075.84210527,-0.4554844114812132
2025-02-06,1,11.35,11.45,11.3,11.36,95560325,-0.00088,0.004874400000000001,108216722.8,-0.0009844000000000003,100547922.8,-0.0014116500000000002,101328488.3,-0.04609967106724753
2025-02-07,1,11.36,11.45,11.31,11.38,140749262,0.001761,0.0010788000000000006,106068169.8,-0.0015923000000000007,105893209.1,-0.00016975000000000028,99267966.45,0.09184178076144388
2025-02-10,1,11.38,11.5,11.36,11.43,102659093,0.004394,0.0016042000000000007,107701104.2,-0.00011570000000000035,109261469.8,0.0002686499999999997,98627518.9,0.22936538646570157
2025-02-11,1,11.4,11.47,11.37,11.42,84452003,-0.000875,-0.0008635999999999993,101552810.6,5.879999999999964e-05,109386378.8,-3.870000000000024e-05,97422437.55,-0.04583851723947644
2025-02-12,1,11.41,11.43,11.34,11.42,98880683,0.0,0.0008800000000000008,104460273.2,0.0008468999999999997,110253757.7,-0.0003446500000000003,98627157.3,-0.00013659737953513457
2025-02-13,1,11.42,11.55,11.4,11.5,135863927,0.007005,0.002457000000000001,112520993.6,0.0036656999999999996,110368858.2,4.904999999999974e-05,100108423.6,0.3657399153277664
2025-02-14,1,11.49,11.55,11.43,11.55,97305774,0.004348,0.002974400000000001,103832296.0,0.0020266,104950232.9,0.0007012499999999998,101216295.8,0.22696277125020753
2025-02-17,1,11.6,11.8,11.55,11.78,206196542,0.019913,0.006078200000000001,124539785.8,0.0038412000000000003,116120445.0,0.0021355,107535455.35,1.0399346371016205
2025-02-18,1,11.76,11.96,11.76,11.81,199661049,0.002547,0.0067626000000000006,147581595.0,0.0029495,124567202.8,0.0027053499999999996,112843676.9,0.1328951624870597
2025-02-19,1,11.8,11.81,11.68,11.71,117774895,-0.008467,0.0050692,151360437.4,0.0029745999999999996,127910355.3,0.0014784499999999999,114609276.9,-0.4423744893271044
2025-02-20,1,11.71,11.76,11.65,11.66,78439627,-0.00427,0.0028142000000000006,139875577.4,0.0026355999999999997,126198285.5,0.0008255999999999999,113373104.15,-0.2231619662960487
2025-02-21,1,11.69,11.71,11.55,11.64,97396897,-0.001715,0.0016016000000000003,139893802.0,0.0022879999999999997,121863049.0,0.0003478499999999999,113878129.05,-0.08971236030502008
2025-02-24,1,11.63,11.69,11.56,11.59,94995617,-0.004296,-0.0032402,117653617.0,0.0014189999999999997,121096701.4,0.0006516499999999999,115179085.6,-0.2245199662004584
2025-02-25,1,11.56,11.58,11.46,11.47,91715602,-0.010354,-0.0058204,96064527.6,0.0004710999999999998,121823061.3,0.0002649499999999998,115604720.05,-0.5409339439279149
2025-02-26,1,11.47,11.6,11.47,11.52,84164552,0.004359,-0.0032551999999999998,89342459.0,0.0009069999999999998,120351448.2,0.0008769499999999999,115302602.95,0.2275373096713039
2025-02-27,1,11.53,11.63,11.46,11.62,97730975,0.008681,-0.0006649999999999996,93200728.6,0.0010745999999999996,116538153.0,0.00237015,113453505.6,0.45327867839663677
2025-02-28,1,11.58,11.68,11.5,11.53,94908806,-0.007745,-0.0018709999999999994,92703110.4,-0.00013470000000000054,116298456.2,0.0009459499999999999,110624344.55,-0.40466387659695846
2025-03-03,1,11.52,11.56,11.45,11.51,83045695,-0.001735,-0.0013587999999999992,90313126.0,-0.0022995000000000003,103983371.5,0.0007708499999999998,110051908.25,-0.09075697561610446
2025-03-04,1,11.47,11.55,11.44,11.51,68317873,0.0,0.0007120000000000007,85633580.2,-0.0025542000000000004,90849053.9,0.0001976499999999999,107708128.35,-0.00013659737953513457
2025-03-05,1,11.52,11.67,11.48,11.66,108064544,0.013032,0.002446600000000001,90413578.6,-0.00040430000000000034,89878018.8,0.0012851499999999999,108894187.05,0.6805347393230421
